resource_id,resource_type,home_location_id,capacity,availability_status
V001,SecurityOfficer,L027,6,AVAILABLE
V002,SecurityOfficer,L008,3,AVAILABLE
V003,Electrician,L028,2,BUSY
V004,Plumber,L034,3,OFFLINE
V005,ITTechnician,L043,1,OFFLINE
V006,SecurityOfficer,L015,4,BUSY
V007,MaintenanceRider,L022,5,BUSY
V008,ITTechnician,L017,5,BUSY
V009,Electrician,L014,2,AVAILABLE
V010,ITTechnician,L024,5,BUSY
V011,Plumber,L014,1,AVAILABLE
V012,MaintenanceRider,L014,3,AVAILABLE
V013,SecurityOfficer,L038,1,BUSY
V014,Electrician,L041,3,AVAILABLE
V015,CleaningCrew,L040,1,AVAILABLE
V016,CleaningCrew,L023,3,BUSY
V017,Plumber,L011,4,OFFLINE
V018,ShuttleVan,L026,5,AVAILABLE
V019,Electrician,L026,1,OFFLINE
V020,CleaningCrew,L013,6,AVAILABLE
V021,CleaningCrew,L002,3,BUSY
V022,Electrician,L013,2,BUSY
V023,Plumber,L010,3,BUSY
V024,SecurityOfficer,L010,5,AVAILABLE
V025,MaintenanceRider,L048,3,AVAILABLE
V026,ShuttleVan,L007,3,AVAILABLE
V027,CleaningCrew,L040,4,AVAILABLE
V028,ITTechnician,L005,6,AVAILABLE
V029,Electrician,L022,2,BUSY
V030,ITTechnician,L033,1,AVAILABLE
