road_id,from_location_id,to_location_id,distance_km,travel_time_min,condition_weight
R001,L001,L002,0.72,3.9,1.40
R002,L001,L003,0.49,2.7,1.32
R003,L003,L004,0.14,0.7,1.29
R004,L004,L005,1.68,6.6,1.27
R005,L005,L006,0.25,1.2,1.46
R006,L004,L007,1.10,6.5,1.28
R007,L007,L008,1.88,6.9,1.26
R008,L006,L009,1.11,5.5,1.12
R009,L001,L010,0.16,0.9,1.39
R010,L002,L011,0.37,2.0,1.37
R011,L009,L012,0.72,3.9,1.37
R012,L010,L013,1.13,5.0,1.03
R013,L010,L014,1.66,8.0,1.39
R014,L002,L015,1.52,7.9,1.36
R015,L013,L016,0.84,3.9,1.02
R016,L003,L017,1.55,8.3,1.35
R017,L016,L018,2.48,8.7,1.05
R018,L004,L019,2.04,12.1,1.07
R019,L017,L020,2.25,8.3,1.02
R020,L011,L021,1.07,4.8,1.49
R021,L008,L022,1.43,5.4,1.00
R022,L003,L023,1.88,8.8,1.35
R023,L014,L024,1.19,7.1,1.22
R024,L007,L025,1.78,9.6,1.18
R025,L022,L026,2.48,12.9,1.33
R026,L021,L027,0.84,3.0,1.03
R027,L002,L028,2.31,12.5,1.40
R028,L028,L029,1.37,5.5,0.91
R029,L012,L030,1.21,4.7,1.39
R030,L003,L031,0.55,2.8,1.21
R031,L005,L032,0.33,2.0,1.23
R032,L004,L033,2.12,7.8,1.15
R033,L016,L034,1.38,5.3,1.02
R034,L027,L035,0.51,2.8,1.21
R035,L019,L036,1.44,5.9,0.96
R036,L030,L037,0.76,4.1,1.22
R037,L034,L038,0.84,4.2,1.13
R038,L007,L039,0.60,3.2,1.21
R039,L004,L040,1.16,6.7,1.27
R040,L010,L041,1.79,6.6,1.18
R041,L034,L042,1.11,4.7,1.05
R042,L013,L043,1.58,9.1,1.26
R043,L008,L044,1.39,5.0,0.96
R044,L035,L045,1.17,4.7,1.47
R045,L030,L046,1.46,5.6,1.47
R046,L035,L047,1.35,5.6,0.93
R047,L006,L048,1.63,6.1,1.38
R048,L030,L049,0.26,1.2,1.38
R049,L009,L050,0.83,3.7,1.38
R050,L038,L035,0.27,1.5,1.17
R051,L019,L038,0.41,1.7,1.40
R052,L045,L039,0.42,2.1,1.28
R053,L042,L031,0.78,3.2,0.99
R054,L037,L020,2.37,11.1,1.13
R055,L028,L008,1.74,6.4,1.05
R056,L031,L013,0.83,2.9,1.07
R057,L008,L033,0.75,4.5,1.02
R058,L010,L023,2.45,13.1,0.91
R059,L019,L022,0.91,4.1,1.03
R060,L042,L006,2.01,9.1,1.27
R061,L047,L026,2.43,9.7,1.14
R062,L037,L001,2.26,11.0,1.42
R063,L029,L024,0.84,4.5,0.94
R064,L040,L032,0.92,4.8,1.21
R065,L040,L038,1.70,10.0,1.49
R066,L013,L003,1.02,4.2,1.19
R067,L048,L018,2.31,9.5,0.91
R068,L048,L032,1.04,5.6,1.48
R069,L023,L004,0.91,5.2,0.96
R070,L015,L030,2.16,9.0,1.05
R071,L005,L043,1.28,4.8,1.28
R072,L037,L028,2.45,13.5,1.45
R073,L012,L041,1.02,5.7,1.14
R074,L001,L040,1.17,4.2,0.94
R075,L001,L021,0.72,4.2,1.00
R076,L005,L022,1.71,9.6,0.98
R077,L019,L027,1.84,8.3,1.17
R078,L007,L018,2.17,10.2,1.01
R079,L042,L032,0.93,3.8,1.32
R080,L021,L038,1.04,3.8,1.29
R081,L013,L020,0.54,2.0,0.94
R082,L040,L015,0.87,3.8,1.20
R083,L011,L013,0.98,4.0,1.17
R084,L006,L041,1.29,6.0,1.33
R085,L049,L032,2.31,11.0,1.31
R086,L050,L003,1.73,7.3,1.25
R087,L004,L031,1.01,5.8,1.48
R088,L039,L034,1.17,6.5,0.99
R089,L046,L049,0.28,1.2,0.90
R090,L038,L048,2.34,12.9,1.23
R091,L030,L009,0.30,1.5,1.31
R092,L025,L010,0.84,3.4,1.07
R093,L010,L040,0.62,2.2,1.45
R094,L018,L044,0.16,0.8,0.94
R095,L006,L011,2.33,12.6,0.99
R096,L021,L031,0.87,3.2,1.20
R097,L010,L015,1.36,5.1,0.94
R098,L038,L005,1.78,6.7,0.95
R099,L010,L044,0.51,2.9,1.32
R100,L012,L038,0.67,4.0,1.14
R101,L042,L021,1.01,5.8,1.46
R102,L049,L018,2.11,7.8,1.30
R103,L014,L038,2.03,7.5,1.26
R104,L034,L023,2.02,10.9,1.40
R105,L033,L013,1.73,7.3,0.93
R106,L009,L025,1.44,8.3,1.15
R107,L029,L043,1.57,9.0,1.25
R108,L023,L046,1.46,6.1,1.03
R109,L012,L003,1.66,7.4,0.92
R110,L015,L020,1.09,5.0,1.17
