run_id,algorithm_name,input_size,execution_time_ms,run_at
# pass 1: auto-growing table, increasing key count
60237072-fafb-45b7-9850-31ddb9a6be34,HashTable.put,100,0.1020,2026-08-23T14:08:38.756012500
0db12510-9cfb-45a5-9c48-6cf4a9215189,HashTable.put,500,0.5972,2026-08-23T14:08:38.779974400
b2dc0cc8-1b9f-4043-9e7e-6bf9871bf25a,HashTable.put,1000,1.0605,2026-08-23T14:08:38.803718
11d511c1-b59b-4d31-ae63-86a527ec2fd2,HashTable.put,5000,4.5108,2026-08-23T14:08:38.871135400
bc4aea4e-c925-42ec-a67c-6573f68a3781,HashTable.put,10000,4.5953,2026-08-23T14:08:38.914824600
4ddea911-e736-40e6-9b89-8a421c115250,HashTable.put,20000,6.5746,2026-08-23T14:08:39.056327800
# pass 2: fixed key count (20000, random), varying FIXED initial table capacity
capacity-2500,HashTable.capacityVariation,20000,7189,2026-08-23T14:08:39.098239
capacity-10000,HashTable.capacityVariation,20000,6458,2026-08-23T14:08:39.110110200
capacity-20000,HashTable.capacityVariation,20000,5431,2026-08-23T14:08:39.121973700
capacity-80000,HashTable.capacityVariation,20000,1399,2026-08-23T14:08:39.126020500
