run_id,algorithm_name,input_size,execution_time_ms,run_at
ccaae627-6796-4a41-826b-c2905e9d57d9,LinearSearch,100,11.8360,2026-08-23T14:08:33.380996900
80e34118-b9ae-4878-9d4a-d1ca11483a8d,BinarySearch,100,14.6008,2026-08-23T14:08:33.487535700
aa4a0bee-fc8e-4527-be37-a3b271c591b2,LinearSearch,500,0.1116,2026-08-23T14:08:33.513503100
08c859bf-8d3b-4aca-a8b2-902cee0645de,BinarySearch,500,0.0045,2026-08-23T14:08:33.533453600
e3440aed-e2b1-4a1a-8bad-d370c6abef95,LinearSearch,1000,0.2022,2026-08-23T14:08:33.562912100
e40d787e-932e-4190-b061-a6c5c79b867f,BinarySearch,1000,0.0200,2026-08-23T14:08:33.588515500
3cc9ebfc-17cd-4a9a-ae39-18eee9e2ec88,LinearSearch,5000,0.8704,2026-08-23T14:08:33.699757400
bf9b43fc-85c7-482c-923f-89bf75851774,BinarySearch,5000,0.0140,2026-08-23T14:08:33.728141300
cb0450c9-47e3-4df3-b06f-c52202b346f1,LinearSearch,10000,1.2923,2026-08-23T14:08:33.755570100
3922bbee-1477-444c-bed0-30f103112ddc,BinarySearch,10000,0.0078,2026-08-23T14:08:33.795150400
