run_id,algorithm_name,input_size,execution_time_ms,run_at
bd47683f-616f-4fbe-9a7e-4294aa5344c9,SelectionSort,100,0.6285,2026-08-10T13:55:02.120734500
967bad5f-d1a2-4433-9269-c2d7811a93c2,InsertionSort,100,0.4499,2026-08-10T13:55:02.127921200
7d83a5df-7378-4e16-8a91-e62c1827cc41,MergeSort,100,0.1239,2026-08-10T13:55:02.134155
02b54d66-88cb-4c51-98e2-31c99d398314,QuickSort,100,0.6761,2026-08-10T13:55:02.142653100
9cb4884e-55b8-4ff1-8bf5-40118dd7076c,SelectionSort,500,2.0131,2026-08-10T13:55:02.155702400
4b997f2d-bd37-4451-b4b4-1562c13f8a6c,InsertionSort,500,1.3870,2026-08-10T13:55:02.165846700
f4d73c50-9817-4c8d-b005-74d8b9202bbb,MergeSort,500,0.3866,2026-08-10T13:55:02.171848300
e18f93e1-455a-44ae-bd5a-7347621dc5ea,QuickSort,500,0.2403,2026-08-10T13:55:02.175846300
adc4da1d-2aec-4fce-abfa-6cf77975e01e,SelectionSort,1000,9.5030,2026-08-10T13:55:02.208431300
f1a11dc8-5187-4357-bd10-d994e73d56a0,InsertionSort,1000,5.6229,2026-08-10T13:55:02.229387300
440e2b16-ec80-4f0c-b05c-7b4a4fa1ee62,MergeSort,1000,0.3822,2026-08-10T13:55:02.234387500
75f5e460-930b-4327-8463-7fb315faf7b5,QuickSort,1000,0.6619,2026-08-10T13:55:02.241918600
2068f7b9-8783-416c-b46e-9cf1dc1751cf,SelectionSort,5000,76.7581,2026-08-10T13:55:02.479786600
6420bcc0-f3ac-4408-8f03-dba82f742b86,InsertionSort,5000,23.5132,2026-08-10T13:55:02.557209
2e0faf05-3861-4257-93b9-472172a5890e,MergeSort,5000,2.7027,2026-08-10T13:55:02.569823400
f8eb560b-3160-4860-944f-76f581d370be,QuickSort,5000,5.1631,2026-08-10T13:55:02.589645200
a14678ea-7138-4411-a227-52f817c201b2,SelectionSort,10000,223.0205,2026-08-10T13:55:03.263246700
0701280d-3df2-476a-82b6-9ae5a8c9377c,InsertionSort,10000,80.4369,2026-08-10T13:55:03.511843400
53064fd5-7131-4e5d-8974-bfeda71ad3c9,MergeSort,10000,4.9497,2026-08-10T13:55:03.533845700
b65fb1fb-30d8-4336-ab7c-093bdafeccfc,QuickSort,10000,1.6159,2026-08-10T13:55:03.543840600
